Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,xG,xGA,xGD,xGD/90,Last 5,Notes
1,de Germany,2,2,0,0,7,1,6,6,3.5,1.0,2.5,1.25,W D W W W,
2,ch Switzerland,2,1,1,0,4,2,2,4,3.4,2.0,1.4,0.72,W W D W D,
3,sct Scotland,2,0,1,1,2,6,-4,1,0.8,3.2,-2.4,-1.21,L W D L D,
4,hu Hungary,2,0,0,2,1,5,-4,0,2.3,3.8,-1.5,-0.76,W L W L L,
1,es Spain,1,1,0,0,3,0,3,3,2.0,2.1,-0.1,-0.09,L D W W W,
2,it Italy,1,1,0,0,2,1,1,3,1.5,0.5,1.0,1.04,W W D W W,
3,al Albania,2,0,1,1,3,4,-1,1,2.0,4.2,-2.2,-1.1,L W W L D,
4,hr Croatia,2,0,1,1,2,5,-3,1,4.7,3.5,1.3,0.63,W W W L D,
1,eng England,1,1,0,0,1,0,1,3,0.5,0.2,0.3,0.34,L D W L W,
2,dk Denmark,1,0,1,0,1,1,0,1,1.7,1.1,0.6,0.58,D W W W D,
3,si Slovenia,1,0,1,0,1,1,0,1,1.1,1.7,-0.6,-0.58,D W W D D,
4,rs Serbia,1,0,0,1,0,1,-1,0,0.2,0.5,-0.3,-0.34,D W L W L,
1,nl Netherlands,1,1,0,0,2,1,1,3,1.4,1.3,0.1,0.13,W L W W W,
2,fr France,1,1,0,0,1,0,1,3,2.0,0.8,1.2,1.25,L W W D W,
3,pl Poland,1,0,0,1,1,2,-1,0,1.3,1.4,-0.1,-0.13,W D W W L,
4,at Austria,1,0,0,1,0,1,-1,0,0.8,2.0,-1.2,-1.25,W W W D L,
1,ro Romania,1,1,0,0,3,0,3,3,1.1,0.7,0.3,0.34,D L D D W,
2,sk Slovakia,1,1,0,0,1,0,1,3,0.6,1.6,-1.1,-1.07,L D W W W,
3,be Belgium,1,0,0,1,0,1,-1,0,1.6,0.6,1.1,1.07,D D W W L,
4,ua Ukraine,1,0,0,1,0,3,-3,0,0.7,1.1,-0.3,-0.34,W D L W L,
1,tr TÃ¼rkiye,1,1,0,0,3,1,2,3,3.0,1.4,1.7,1.65,L L D L W,
2,pt Portugal,1,1,0,0,2,1,1,3,1.9,0.4,1.4,1.44,L W L W W,
3,cz Czechia,1,0,0,1,1,2,-1,0,0.4,1.9,-1.4,-1.44,W W W W L,
4,ge Georgia,1,0,0,1,1,3,-2,0,1.4,3.0,-1.7,-1.65,L W D W L,
